Block Name,Cell ID,vtkOriginalCellIds,Cell Type,Ma,T,U_0,U_1,U_2,U_Magnitude,p
internalMesh,3144,3144,12,1.55149,1.89742,2.13618,-0.0634375,0,2.13712,3.68036
internalMesh,3145,3145,12,1.5531,1.89657,2.13772,-0.0700109,0,2.13887,3.67624
internalMesh,3146,3146,12,1.55543,1.89478,2.13972,-0.0757591,0,2.14106,3.66794
internalMesh,3147,3147,12,1.558,1.89317,2.14216,-0.0809613,0,2.14369,3.65842
internalMesh,3148,3148,12,1.56004,1.89154,2.14386,-0.0855787,0,2.14557,3.64522
internalMesh,3149,3149,12,1.56265,1.88984,2.14631,-0.0899713,0,2.1482,3.64458
internalMesh,3150,3150,12,0.837268,2.46492,1.23415,0.452562,0,1.31451,9.25616
internalMesh,3151,3151,12,0.870461,2.44061,1.28753,0.437615,0,1.35987,8.92221
internalMesh,3152,3152,12,0.89778,2.42052,1.3327,0.418171,0,1.39677,8.64811
internalMesh,3153,3153,12,0.92243,2.40042,1.37347,0.395001,0,1.42914,8.40246
internalMesh,3154,3154,12,0.945686,2.37983,1.41146,0.368928,0,1.45888,8.17284
internalMesh,3155,3155,12,0.967868,2.36035,1.44741,0.340722,0,1.48697,7.95313
internalMesh,3156,3156,12,0.989505,2.34112,1.48171,0.311069,0,1.51401,7.74057
internalMesh,3157,3157,12,1.01072,2.32247,1.51454,0.280524,0,1.5403,7.53388
internalMesh,3158,3158,12,1.03152,2.30499,1.54606,0.249536,0,1.56607,7.33293
internalMesh,3159,3159,12,1.05206,2.28823,1.57638,0.21841,0,1.59144,7.13726
internalMesh,3160,3160,12,1.07245,2.27173,1.60552,0.187374,0,1.61642,6.94709
internalMesh,3161,3161,12,1.09268,2.25548,1.63352,0.156612,0,1.64101,6.76269
internalMesh,3162,3162,12,1.1128,2.23928,1.66043,0.126283,0,1.66523,6.58431
internalMesh,3163,3163,12,1.13274,2.22335,1.68625,0.0965279,0,1.68901,6.41205
internalMesh,3164,3164,12,1.15252,2.20743,1.71102,0.0674824,0,1.71235,6.24606
internalMesh,3165,3165,12,1.17202,2.19191,1.73474,0.0392802,0,1.73518,6.08647
internalMesh,3166,3166,12,1.19129,2.17646,1.75745,0.012077,0,1.75749,5.93352
internalMesh,3167,3167,12,1.2102,2.1614,1.77914,-0.0141029,0,1.7792,5.78708
internalMesh,3168,3168,12,1.22864,2.14667,1.79971,-0.0390908,0,1.80013,5.64808
internalMesh,3169,3169,12,1.24652,2.13238,1.81917,-0.062733,0,1.82025,5.51657
